case,fgc,med,rec,rem,work
AKS,450,4,2,450,190469
AKS,462,6,2,462,195122
AKS,448,6,2,448,190039
AKS,464,6,2,464,190569
AKS,443,6,2,443,195510
AKS,447,6,2,447,190566
AKS,440,6,2,440,191456
AKS,475,4,1,475,163506
AKS,441,6,2,441,192702
AKS,448,6,2,448,191416
AKS,442,4,2,442,192772
AKS,442,6,2,442,189083
AKS,446,6,2,446,193466
AKS,433,6,2,433,201810
AKS,451,6,2,451,189332
AKS,452,6,2,452,190836
AKS,457,4,2,457,191645
AKS,438,6,2,438,187836
AKS,460,6,2,460,190505
AKS,450,6,2,450,196661
AKS,451,6,2,451,197946
AKS,441,6,2,441,196628
AKS,448,6,2,448,196876
AKS,449,6,2,449,188896
AKS,450,6,2,450,193411
AKS,445,6,2,445,193848
AKS,451,6,2,451,192384
AKS,450,2,2,450,191486
AKS,445,4,2,445,194602
AKS,446,6,2,446,193259
AKS,448,6,2,448,196836
AKS,461,4,2,461,190317
AKS,452,6,2,452,192999
AKS,446,6,2,446,189310
AKS,461,6,2,461,192030
AKS,467,4,2,467,192866
AKS,447,4,2,447,190471
AKS,446,6,2,446,195728
AKS,445,6,2,445,188473
AKS,457,6,2,457,196209
AKS,444,6,2,444,189729
AKS,451,6,2,451,190334
AKS,472,4,2,472,192702
AKS,431,6,2,431,189995
AKS,454,6,2,454,191419
AKS,447,6,2,447,190409
AKS,448,4,2,448,194515
AKS,456,6,2,456,188709
AKS,448,4,2,448,190739
AKS,452,6,2,452,191380
AKS,438,6,2,438,191406
AKS,456,6,2,456,190603
AKS,446,6,2,446,190313
AKS,451,6,2,451,191783
AKS,438,6,2,438,197688
AKS,441,6,2,441,190303
AKS,452,4,2,452,192630
AKS,461,6,2,461,194088
AKS,449,6,2,449,197542
AKS,445,6,2,445,194458
AKS,442,6,2,442,194653
AKS,436,4,2,436,191714
AKS,460,6,2,460,192874
AKS,454,6,2,454,191073
AKS,435,6,2,435,195838
AKS,448,4,2,448,189900
AKS,444,6,2,444,191102
AKS,439,4,2,439,197666
AKS,458,6,2,458,194392
AKS,441,6,2,441,194195
AKS,454,6,2,454,195113
AKS,445,6,2,445,190807
AKS,455,4,2,455,195682
AKS,452,6,2,452,188009
AKS,454,6,2,454,192560
AKS,447,6,2,447,193764
AKS,436,6,2,436,193938
AKS,450,6,2,450,196140
AKS,439,6,2,439,196098
AKS,455,4,2,455,192973
AKS,437,6,2,437,190492
AKS,446,6,2,446,188981
AKS,436,6,2,436,189736
AKS,438,6,2,438,189370
AKS,448,6,2,448,193555
AKS,445,6,2,445,195140
AKS,442,6,2,442,190665
AKS,444,4,2,444,190026
AKS,441,4,1,441,164233
AKS,459,6,2,459,188343
AKS,440,6,2,440,190807
AKS,454,4,2,454,189841
AKS,450,4,2,450,193486
AKS,445,4,2,445,193397
AKS,458,6,2,458,192679
AKS,444,6,2,444,188849
AKS,452,6,2,452,193080
AKS,464,2,1,464,164030
AKS,447,6,2,447,194681
AKS,439,6,2,439,193560
AKS,446,6,2,446,195948
AKS,439,6,2,439,192921
AKS,443,6,2,443,195658
AKS,441,6,2,441,191227
AKS,450,6,2,450,198352
AKS,448,6,2,448,194580
AKS,444,6,2,444,195723
AKS,456,6,2,456,188922
AKS,444,6,2,444,194028
AKS,443,6,2,443,192040
AKS,455,6,2,455,196352
AKS,448,4,2,448,191309
AKS,454,6,2,454,195718
AKS,449,6,2,449,189482
AKS,437,4,2,437,194641
AKS,440,6,2,440,186738
AKS,440,4,2,440,188360
AKS,448,6,2,448,196739
AKS,437,6,2,437,195577
AKS,455,4,2,455,191930
AKS,451,6,2,451,192453
AKS,442,6,2,442,199717
AKS,466,6,2,466,199437
AKS,446,6,2,446,191576
AKS,461,6,2,461,192850
AKS,447,6,2,447,201932
AKS,452,4,2,452,191471
AKS,448,6,2,448,191700
AKS,445,6,2,445,195033
AKS,445,6,2,445,189581
AKS,465,6,2,465,193964
AKS,446,6,2,446,194030
AKS,440,6,2,440,190568
AKS,445,6,2,445,188319
AKS,447,6,2,447,187067
AKS,447,6,2,447,189772
AKS,453,6,2,453,195897
AKS,455,6,2,455,192370
AKS,444,4,2,444,190607
AKS,454,4,2,454,190131
AKS,443,4,1,443,162389
AKS,448,6,2,448,188977
AKS,445,6,2,445,189593
AKS,449,4,2,449,189887
AKS,446,6,2,446,192292
AKS,459,6,2,459,186588
AKS,440,6,2,440,193700
AKS,443,6,2,443,196372
AKS,449,6,2,449,192724
AKS,444,6,2,444,192066
AKS,450,6,2,450,190315
AKS,440,6,2,440,187705
AKS,455,6,2,455,193813
AKS,453,6,2,453,196196
AKS,464,6,2,464,191969
AKS,443,6,2,443,192592
AKS,442,6,2,442,195051
AKS,441,6,2,441,192088
AKS,439,4,2,439,191319
AKS,442,6,2,442,194963
AKS,449,6,2,449,188950
AKS,454,6,2,454,195077
AKS,457,6,2,457,188474
AKS,455,6,2,455,189065
AKS,463,4,2,463,190976
AKS,462,4,2,462,195174
AKS,468,6,2,468,186534
AKS,448,4,2,448,188507
AKS,441,4,2,441,187475
AKS,450,4,1,450,161716
AKS,459,4,2,459,191701
AKS,438,6,2,438,197353
AKS,453,6,2,453,194563
AKS,443,6,2,443,193209
AKS,447,6,2,447,187062
AKS,444,6,2,444,192558
AKS,450,6,2,450,198186
AKS,452,6,2,452,190675
AKS,449,6,2,449,189806
AKS,442,6,2,442,193571
AKS,444,6,2,444,191015
AKS,453,6,2,453,190370
AKS,451,4,2,451,191726
AKS,449,6,2,449,190749
AKS,429,6,2,429,193083
AKS,445,6,2,445,188968
AKS,455,6,2,455,189854
AKS,449,4,2,449,191801
AKS,447,6,2,447,188871
AKS,448,6,2,448,188522
AKS,446,6,2,446,190614
AKS,448,6,2,448,190032
AKS,437,4,2,437,191205
AKS,445,4,2,445,194705
AKS,450,6,2,450,194084
AKS,447,6,2,447,194011
AKS,440,6,2,440,188239
AKS,458,4,2,458,198578
AKS,446,6,2,446,192134
AKS,442,6,2,442,191863
AKS,435,4,1,435,164412
AKS,440,6,2,440,189894
AKS,444,6,2,444,193625
AKS,446,6,2,446,196276
AKS,445,6,2,445,194441
AKS,454,6,2,454,193444
AKS,449,6,2,449,194176
AKS,443,6,2,443,189587
AKS,459,6,2,459,190028
AKS,443,6,2,443,197533
AKS,455,6,2,455,191318
AKS,457,6,2,457,200252
AKS,443,6,2,443,195054
AKS,445,6,2,445,190790
AKS,448,6,2,448,191226
AKS,446,4,2,446,192191
AKS,441,4,2,441,192439
AKS,453,6,2,453,191093
AKS,453,6,2,453,192602
AKS,455,6,2,455,194622
AKS,445,6,2,445,189407
AKS,468,6,2,468,193486
AKS,456,6,2,456,192825
AKS,439,6,2,439,200404
AKS,448,6,2,448,188018
AKS,437,6,2,437,192913
AKS,449,6,2,449,190537
AKS,449,6,2,449,190196
AKS,437,6,2,437,190000
AKS,449,6,2,449,195295
AKS,466,6,2,466,193745
AKS,445,6,2,445,194893
AKS,447,6,2,447,196662
AKS,453,6,2,453,189540
AKS,454,6,2,454,192556
AKS,448,6,2,448,192624
AKS,444,6,2,444,193304
AKS,448,6,2,448,189079
AKS,449,6,2,449,190333
AKS,460,6,2,460,188281
AKS,452,6,2,452,192732
AKS,451,4,2,451,192614
AKS,461,6,2,461,186672
AKS,438,6,2,438,192296
AKS,461,6,2,461,192995
AKS,443,6,2,443,188225
AKS,455,6,2,455,189935
AKS,463,6,2,463,193761
AKS,444,6,2,444,190122
AKS,451,6,2,451,195287
AKS,451,2,2,451,194129
AKS,461,6,2,461,195389
AKS,447,6,2,447,193069
AKS,444,6,2,444,196039
AKS,448,6,2,448,189455
AKS,455,4,1,455,165424
AKS,448,6,2,448,191446
AKS,457,6,2,457,193495
AKS,452,4,2,452,187474
AKS,440,4,1,440,164944
AKS,455,6,2,455,188744
AKS,440,6,2,440,188706
AKS,457,6,2,457,195533
AKS,446,6,2,446,193719
AKS,439,4,2,439,195158
AKS,444,6,2,444,188634
AKS,457,6,2,457,193491
AKS,468,6,2,468,188746
AKS,450,4,2,450,185671
AKS,462,6,2,462,194794
AKS,454,6,2,454,189381
AKS,447,4,1,447,160670
AKS,441,4,1,441,165159
AKS,448,6,2,448,188887
AKS,462,4,2,462,194219
AKS,451,4,2,451,193530
AKS,465,6,2,465,192378
AKS,453,6,2,453,192126
AKS,443,6,2,443,188416
AKS,449,6,2,449,190080
AKS,447,6,2,447,189428
AKS,444,6,2,444,195050
AKS,438,6,2,438,195687
AKS,454,6,2,454,192968
AKS,449,6,2,449,194216
AKS,443,6,2,443,191292
AKS,459,6,2,459,194123
AKS,445,6,2,445,190351
AKS,454,6,2,454,191226
AKS,449,6,2,449,199737
AKS,452,6,2,452,195237
AKS,444,6,2,444,197667
AKS,459,6,2,459,196450
AKS,453,6,2,453,194984
AKS,444,6,2,444,193419
AKS,439,4,2,439,197883
AKS,450,6,2,450,192649
AKS,438,4,1,438,165582
AKS,464,6,2,464,201876
AKS,464,6,2,464,192960
AKS,447,6,2,447,192222
AKS,463,6,2,463,187771
AKS,446,6,2,446,196388
AKS,448,6,2,448,192571
AKS,449,6,2,449,193695
AKS,466,6,2,466,188526
AKS,454,6,2,454,194751
AKS,440,4,2,440,191631
AKS,442,6,2,442,192718
AKS,444,6,2,444,192389
AKS,451,6,2,451,192284
AKS,454,6,2,454,189828
AKS,448,6,2,448,193448
AKS,445,6,2,445,189097
AKS,449,6,2,449,192359
AKS,448,6,2,448,188061
AKS,438,6,2,438,187863
AKS,450,6,2,450,190798
AKS,447,6,2,447,193469
AKS,445,6,2,445,196984
AKS,441,6,2,441,189063
AKS,443,4,2,443,196460
AKS,447,4,1,447,164432
AKS,452,6,2,452,193137
AKS,443,4,2,443,192404
AKS,443,2,2,443,190699
AKS,452,4,2,452,190604
AKS,451,6,2,451,195444
AKS,447,6,2,447,194243
AKS,441,6,2,441,192175
AKS,462,6,2,462,191389
AKS,447,6,2,447,192377
AKS,460,6,2,460,191089
AKS,438,6,2,438,188322
AKS,438,6,2,438,198245
AKS,435,6,2,435,192715
AKS,463,6,2,463,195369
AKS,452,6,2,452,196496
AKS,446,6,2,446,190640
AKS,450,4,2,450,194690
AKS,447,6,2,447,195269
AKS,453,4,2,453,191823
AKS,449,6,2,449,195827
AKS,446,6,2,446,193140
AKS,453,4,2,453,191481
